SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Aave,AAVE,10/5/20 23:59,55.11235847,49.78789992,52.67503496,53.21924296,0,89128128.86
2,Aave,AAVE,10/6/20 23:59,53.40227002,40.73457791,53.29196931,42.40159861,583091.4598,71011441.25
3,Aave,AAVE,10/7/20 23:59,42.40831364,35.97068975,42.39994711,40.08397561,682834.1863,67130036.9
4,Aave,AAVE,10/8/20 23:59,44.90251114,36.69605677,39.88526234,43.76446306,1658816.923,220265142.1
5,Aave,AAVE,10/9/20 23:59,47.56953274,43.2917758,43.76446306,46.81774415,815537.6608,235632208.2
6,Aave,AAVE,10/10/20 23:59,51.4056548,46.70332768,46.81814554,49.13371767,1074627.028,247288428.8
7,Aave,AAVE,10/11/20 23:59,51.45337431,48.71603954,49.13312951,49.66072573,692150.6009,249940843.4
8,Aave,AAVE,10/12/20 23:59,54.42141763,48.75407708,49.66157329,52.23869222,1354836.065,262915666.3
9,Aave,AAVE,10/13/20 23:59,57.48190422,49.59873521,52.23839242,51.12431679,1386221.207,257307050.4
10,Aave,AAVE,10/14/20 23:59,57.85394649,49.62952942,51.37289869,51.31651791,3132405.422,258274392.5
11,Aave,AAVE,10/15/20 23:59,52.08068541,44.01832531,51.38760962,44.01918294,5883146.063,221547139.1
12,Aave,AAVE,10/16/20 23:59,43.90673033,39.14295677,42.89060653,39.49584426,52855204.94,365071463.3
13,Aave,AAVE,10/17/20 23:59,43.07737327,38.63361292,39.48619161,41.36699325,43339687.25,382367032.3
14,Aave,AAVE,10/18/20 23:59,41.7494876,39.53158618,41.38959771,40.74697166,40441163.46,376635994.1
15,Aave,AAVE,10/19/20 23:59,40.9951837,35.95136399,40.83675675,36.01231739,49289896.51,332872221.2
16,Aave,AAVE,10/20/20 23:59,36.31907005,32.1010995,36.04378522,32.18001748,60632325.59,297449169.5
17,Aave,AAVE,10/21/20 23:59,37.07820274,32.04814912,32.25348971,35.16035652,43831234.96,324997301.5
18,Aave,AAVE,10/22/20 23:59,39.85692062,33.58946348,35.09748742,38.03165056,54717366.38,402396251.5
19,Aave,AAVE,10/23/20 23:59,42.54665591,36.92467124,37.73059438,41.68663736,76081859.91,445257058
20,Aave,AAVE,10/24/20 23:59,42.43970617,38.72882165,41.68663733,39.45502214,57658170.29,421421064.3
21,Aave,AAVE,10/25/20 23:59,40.92850939,37.60120084,39.45502214,37.90476078,43970451.96,404862645.2
22,Aave,AAVE,10/26/20 23:59,39.16386433,35.07196756,37.90476254,36.03392191,50307222.85,384880121.6
23,Aave,AAVE,10/27/20 23:59,38.86918184,34.46963521,36.0339136,34.87153083,58581307.85,372464564.4
24,Aave,AAVE,10/28/20 23:59,35.56402236,32.00005907,34.87153639,32.39408292,60533866.83,346002819.3
25,Aave,AAVE,10/29/20 23:59,33.1554836,28.24077345,32.39408189,29.09833402,66304785.65,310800760.6
26,Aave,AAVE,10/30/20 23:59,31.98077334,27.79246068,29.09834147,31.21782294,77280723.59,350090548.4
27,Aave,AAVE,10/31/20 23:59,32.90016101,29.61025941,31.21782294,29.70751775,58631071.61,333516029.3
28,Aave,AAVE,11/1/20 23:59,31.0670602,28.49448212,29.70751776,30.65727643,49568339.16,345465544
